Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned
98101,STANDARD,SEATTLE,WA,PRIMARY,47.61,-122.33,NA-US-WA-SEATTLE,FALSE
98102,STANDARD,SEATTLE,WA,PRIMARY,47.63,-122.32,NA-US-WA-SEATTLE,FALSE
98103,STANDARD,SEATTLE,WA,PRIMARY,47.67,-122.34,NA-US-WA-SEATTLE,FALSE
98104,STANDARD,SEATTLE,WA,PRIMARY,47.6,-122.32,NA-US-WA-SEATTLE,FALSE
98105,STANDARD,SEATTLE,WA,PRIMARY,47.66,-122.29,NA-US-WA-SEATTLE,FALSE
98106,STANDARD,SEATTLE,WA,PRIMARY,47.54,-122.35,NA-US-WA-SEATTLE,FALSE
98107,STANDARD,SEATTLE,WA,PRIMARY,47.66,-122.38,NA-US-WA-SEATTLE,FALSE
98108,STANDARD,SEATTLE,WA,PRIMARY,47.54,-122.31,NA-US-WA-SEATTLE,FALSE
98109,STANDARD,SEATTLE,WA,PRIMARY,47.63,-122.34,NA-US-WA-SEATTLE,FALSE
98111,PO BOX,SEATTLE,WA,PRIMARY,47.61,-122.33,NA-US-WA-SEATTLE,FALSE
98112,STANDARD,SEATTLE,WA,PRIMARY,47.63,-122.29,NA-US-WA-SEATTLE,FALSE
98113,PO BOX,SEATTLE,WA,PRIMARY,47.61,-122.33,NA-US-WA-SEATTLE,FALSE
98114,PO BOX,SEATTLE,WA,PRIMARY,47.58,-122.31,NA-US-WA-SEATTLE,FALSE
98115,STANDARD,SEATTLE,WA,PRIMARY,47.68,-122.28,NA-US-WA-SEATTLE,FALSE
98116,STANDARD,SEATTLE,WA,PRIMARY,47.57,-122.4,NA-US-WA-SEATTLE,FALSE
98117,STANDARD,SEATTLE,WA,PRIMARY,47.68,-122.38,NA-US-WA-SEATTLE,FALSE
98118,STANDARD,SEATTLE,WA,PRIMARY,47.54,-122.27,NA-US-WA-SEATTLE,FALSE
98119,STANDARD,SEATTLE,WA,PRIMARY,47.63,-122.37,NA-US-WA-SEATTLE,FALSE
98121,STANDARD,SEATTLE,WA,PRIMARY,47.61,-122.34,NA-US-WA-SEATTLE,FALSE
98122,STANDARD,SEATTLE,WA,PRIMARY,47.61,-122.3,NA-US-WA-SEATTLE,FALSE
98124,PO BOX,SEATTLE,WA,PRIMARY,47.57,-122.33,NA-US-WA-SEATTLE,FALSE
98125,STANDARD,SEATTLE,WA,PRIMARY,47.71,-122.3,NA-US-WA-SEATTLE,FALSE
98126,STANDARD,SEATTLE,WA,PRIMARY,47.55,-122.37,NA-US-WA-SEATTLE,FALSE
98127,PO BOX,SEATTLE,WA,PRIMARY,47.61,-122.33,NA-US-WA-SEATTLE,FALSE
98129,UNIQUE,SEATTLE,WA,PRIMARY,47.61,-122.33,NA-US-WA-SEATTLE,FALSE
98131,STANDARD,SEATTLE,WA,PRIMARY,47.46,-122.29,NA-US-WA-SEATTLE,FALSE
98132,STANDARD,SEATTLE,WA,PRIMARY,47.46,-122.29,NA-US-WA-SEATTLE,FALSE
98133,STANDARD,SEATTLE,WA,PRIMARY,47.73,-122.34,NA-US-WA-SEATTLE,FALSE
98134,STANDARD,SEATTLE,WA,PRIMARY,47.57,-122.33,NA-US-WA-SEATTLE,FALSE
